0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:48:26 +1000] "GET /TempelateIntegrationProject/js/bootstrap.js HTTP/1.1" 200 136797
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:48:26 +1000] "GET /TempelateIntegrationProject/js/custom.js HTTP/1.1" 200 962
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:48:26 +1000] "GET /TempelateIntegrationProject/images/logo.png HTTP/1.1" 200 13873
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:48:26 +1000] "GET /TempelateIntegrationProject/images/arrival-bg.png HTTP/1.1" 200 955039
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:48:27 +1000] "GET /TempelateIntegrationProject/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:48:27 +1000] "GET /TempelateIntegrationProject/login.jsp HTTP/1.1" 200 13325
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:48:27 +1000] "GET /TempelateIntegrationProject/login.jsp HTTP/1.1" 200 13325
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:48:28 +1000] "GET /TempelateIntegrationProject/images/favicon.png HTTP/1.1" 200 8416
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:48:48 +1000] "GET /TempelateIntegrationProject/index.jsp HTTP/1.1" 200 50910
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:48:48 +1000] "GET /TempelateIntegrationProject/index.jsp HTTP/1.1" 200 50910
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:48:48 +1000] "GET /TempelateIntegrationProject/index.jsp HTTP/1.1" 200 50910
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:48:51 +1000] "GET /TempelateIntegrationProject/index.jsp HTTP/1.1" 200 50910
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:48:51 +1000] "GET /TempelateIntegrationProject/index.jsp HTTP/1.1" 200 50910
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:48:51 +1000] "GET /TempelateIntegrationProject/index.jsp HTTP/1.1" 200 50910
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:49:57 +1000] "GET /TempelateIntegrationProject/index.jsp HTTP/1.1" 200 50622
